PMI_026139	Pm-Dcst2
PMI_019354	Pm-Mllt
PMI_028009	Pm-Nmnat3
PMI_023663	PMI_023663
PMI_023664	PMI_023664
PMI_025713	PMI_025713
PMI_022760	Pm-Nvll_1
PMI_026702	Pm-Lrrfip2
PMI_027985	Pm-Phb1
PMI_027877	Pm-Kcnq2
PMI_024672	Pm-Tctn2
PMI_013734	PMI_013734
PMI_013735	Pm-Frrs1
PMI_013736	Pm-Kiaa0020
PMI_024014	Pm-Yipf1l
PMI_027530	Pm-Frmd1
PMI_024587	Pm-Klhl20
PMI_024782	Pm-Arg_1
PMI_019033	Pm-Gls
PMI_026124	Pm-Pofut1_2
PMI_027889	
PMI_011342	Pm-Ubr4
PMI_023499	Pm-Creb3l1
PMI_013424	PMI_013424
PMI_013425	Pm-Ddx23
PMI_023229	Pm-Acat3
PMI_023772	Pm-Ugt_2
PMI_023773	Pm-Ugt_2
PMI_023774	
PMI_027844	Pm-Ptchd3
PMI_027845	
PMI_023644	Pm-Smc1L1
PMI_028086	Pm-Grm3
PMI_024351	Pm-Wap
PMI_012013	Pm-Form1ph
PMI_027431	Pm-Sfrp3/4I
PMI_027597	PMI_027597
PMI_029207	PMI_029207
PMI_025403	Pm-Traf7
PMI_028320	PMI_028320
PMI_024442	Pm-Mark3
PMI_029651	Pm-B3galt1_11
PMI_016232	Pm-Igf_23
PMI_022353	
PMI_022354	Pm-Reeler/Egf/Cub
PMI_029221	
